r_kpc,rho_Msun_pc3,ratio_rho_over_rhoc,Phi_TEG,deviation_from_GR_abs,regime,rho_c_Msun_pc3,rho_transition_threshold
0.452004,133.511625,133271.2300,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.457916,128.694264,128462.5428,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.463828,124.092577,123869.1415,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.469739,119.694925,119479.4073,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.475651,115.490406,115282.4590,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.481563,111.468805,111268.0991,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.487475,107.620541,107426.7642,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.493387,103.936623,103749.4796,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.499299,100.408609,100227.8178,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.505210,97.028565,96853.8595,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.511122,93.789031,93620.1590,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.517034,90.682991,90519.7109,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.522946,87.703836,87545.9208,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.528858,84.845346,84692.5770,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.534770,82.101654,81953.8252,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.540681,79.467230,79324.1450,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.546593,76.936856,76798.3274,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.552505,74.505607,74371.4554,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.558417,72.168828,72038.8845,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.564329,69.922124,69796.2257,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.570240,67.761337,67639.3293,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.576152,65.682535,65564.2697,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.582064,63.681995,63567.3318,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.587976,61.756193,61644.9978,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.593888,59.901792,59793.9353,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.599800,58.115626,58010.9860,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.605711,56.394697,56293.1551,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.611623,54.736158,54637.6021,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.617535,53.137308,53041.6310,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.623447,51.595583,51502.6823,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.629359,50.108548,50018.3250,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.635271,48.673889,48586.2492,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.641182,47.289406,47204.2591,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.647094,45.953007,45870.2664,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.653006,44.662702,44582.2847,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.658918,43.416597,43338.4233,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.664830,42.212889,42136.8824,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.670741,41.049860,40975.9476,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.676653,39.925874,39853.9857,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.682565,38.839372,38769.4399,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.688477,37.788867,37720.8260,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.694389,36.772940,36706.7284,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.700301,35.790239,35725.7965,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.706212,34.839472,34776.7411,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.712124,33.919405,33858.3317,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.718036,33.028863,32969.3928,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.723948,32.166720,32108.8016,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.729860,31.331900,31275.4849,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.735772,30.523376,30468.4169,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.741683,29.740166,29686.6168,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.747595,28.981329,28929.1461,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.753507,28.245966,28195.1072,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.759419,27.533216,27483.6407,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.765331,26.842255,26793.9242,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.771242,26.172294,26125.1697,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.777154,25.522578,25476.6227,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.783066,24.892380,24847.5602,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.788978,24.281008,24237.2891,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.794890,23.687796,23645.1450,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.800802,23.112106,23070.4909,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.806713,22.553324,22512.7157,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.812625,22.010865,21971.2330,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.818537,21.484164,21445.4802,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.824449,20.972680,20934.9172,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.830361,20.475893,20439.0252,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.836273,19.993305,19957.3063,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.842184,19.524437,19489.2820,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.848096,19.068827,19034.4924,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.854008,18.626033,18592.4959,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.859920,18.195630,18162.8676,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.865832,17.777208,17745.1991,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.871743,17.370374,17339.0977,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.877655,16.974749,16944.1854,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.883567,16.589970,16560.0988,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.889479,16.215685,16186.4880,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.895391,15.851558,15823.0162,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.901303,15.497263,15469.3592,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.907214,15.152488,15125.2047,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.913126,14.816931,14790.2519,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.919038,14.490302,14464.2113,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.924950,14.172322,14146.8035,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.930862,13.862720,13837.7595,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.936774,13.561238,13536.8200,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.942685,13.267624,13243.7349,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.948597,12.981637,12958.2630,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.954509,12.703044,12680.1718,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.960421,12.431621,12409.2368,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.966333,12.167149,12145.2416,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.972244,11.909421,11887.9773,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.978156,11.658234,11637.2422,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.984068,11.413392,11392.8416,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.989980,11.174708,11154.5876,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
0.995892,10.942000,10922.2986,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.001804,10.715092,10695.7992,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.007715,10.493815,10474.9201,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.013627,10.278004,10259.4975,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.019539,10.067500,10049.3734,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.025451,9.862152,9844.3948,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.031363,9.661810,9644.4139,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.037275,9.466332,9449.2878,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.043186,9.275580,9258.8783,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
